id,name,description
T001,魔王,自身の行動後、敵軍の各武将の兵力が初めて50%以下になった際、その武将にランダムの兵力損失を付与(5%以下)
T002,覇王,自身が兵力を回復する時、敵軍単体に兵力損失(回復量の10%、上限は自身の兵力の10%)
T003,連歌百韻,能動戦法の発動に成功すると、7%の確率で再度発動判定を行う。固有戦法の場合、再判定の確率が35%
T004,波風,通常攻撃時、80%の確率で対象の知略を2吸収(最大10回まで重ねがけ可能)。低い確率で自軍大将を攻撃
T005,人たらし,友軍を回復する際、回復量に余剰が生じた場合、50%の確率で1ターンの間、そのメイン属性(最も高い属性）が15増加
T006,立身出世,10回レベルアップするごとに、分配可能な属性ポイントを3獲得
T007,無傷の誇り,戦闘中の兵力損害が低下
T008,三河武士,自軍全体は通常攻撃後、15%の確率で自身の次回の被ダメージ50%低下
T009,古狸,同一勢力の武将2人と同部隊の場合、自身の勢力もその2名の勢力に転換
T010,甲斐の虎,部隊行軍速度が10%上昇し、士気消費が10%減少する。占領、攻城命令の実行中は効果が2倍
T011,人は城,自軍全体の統率5%上昇
T012,義の将,混乱になる確率低下
T013,越後の龍,このターンでダメージを与えなかった場合、次の行動時まで自身の被ダメージ22%低下
T014,騎兵大将,部隊の騎兵レベルが3、レベル上限が1増加
T015,謀神,計略ダメージを与えた際、25%の確率でダメージ量に両者の知略差が反映される(各戦闘につき3回まで発動可能)
T016,三矢家訓,自軍武将3名のメイン属性(最も高い属性)がいずれも異なる場合、各武将のメイン属性が8増加
T017,求道,雑賀本願寺以外の友軍1名を雑賀本願寺に変更。発動していない場合、自軍全体の計略被ダメージが5%低下
T018,雷の化身,通常攻撃を受けると、低確率で攻撃者に麻痹を付与
T019,公家趣味,敵軍大将の所持家宝の効果を無効にし、自身がその効果を獲得
T020,弓兵の大将,部隊の弓兵レベルが3、レベル上限が1増加
T021,清濁併吞,25%の確率で自身がこれから受ける通常攻撃を無効化
T022,四州の雄,自軍全体の通常攻撃ダメージ6%、駐屯中の場合は12%増加
T023,足軽大将,部隊の足軽レベルが3、レベル上限が1増加
T024,短刀の契,戦闘中、自軍男性大将の全属性が2%上昇
T025,算盤勘定,銀銭の産出量に応じて武勇増加(最大+16)
T026,瓶割り,5ターン目以降、10%の離反を獲得。自身の兵力が50%以下の場合、与ダメージが10%上昇
T027,猪武者,兵刃ダメージを与えると、60%の確率で1%の会心を獲得し、会心ダメージが1%上昇(最大6回まで重ねがけ可能)
T028,築城名手,天守レベルが1上がるごとに、統率が2.4増加
T029,姫武者,2回攻撃するたびに、自身は2%の会心を獲得(最大8回まで重ねがけ可能)
T030,鳳凰,自身の被ダメージが1.5%上昇する。戦闘開始から3ターン目以降、自身が初めて致命ダメージを受けた際にそのダメージを無効化する
T031,不死身,戦闘中の兵力損害が低下
T032,赤備え,初めて通常攻撃を行った後、攻撃対象の統率が18減少(重ねがけ可能)
T033,側擊,通常攻撃は14%の確率で、1ターンの間対象に疲弊を付与。自身が通常攻撃を受けた場合、そのターンは発動不可
T034,老功古実,初めて能動戦法ダメージを受けた際、その発動者の知略が15減少
T035,禄壽応穏,部隊士気上限が5、最大レベルの資源施設1つにつき追加で3増加
T036,上下一心,自軍複数(2~3名)は1ターン目に制御耐性を獲得し、30%の確率で付与される制御状態を無効化する。この効果は一人につき最大1回まで発動可能
T037,一番槍,戦闘中に1回のみ、初めのターンに自身がダメージを与えた後、50%の確率でメイン属性(最も高い属性)が18増加
T038,鉄砲大将,部隊の鉄砲レベルが3、レベル上限が1増加
T039,死守,戦闘中、自身の兵力が初めて50%以下に減少すると兵力を大量に回復
T101,馬術Ⅰ,部隊の騎兵レベル+1
T102,馬術Ⅱ,部隊の騎兵レベル+2
T103,馬術Ⅲ,部隊の騎兵レベル+3
T106,弓術Ⅰ,部隊の弓兵レベル+1
T107,弓術Ⅱ,部隊の弓兵レベル+2
T108,弓術Ⅲ,部隊の弓兵レベル+3
T111,砲術Ⅰ,部隊の鉄砲レベル+1
T112,砲術Ⅱ,部隊の鉄砲レベル+2
T113,砲術Ⅲ,部隊の鉄砲レベル+3
T116,槍術Ⅰ,部隊の足軽レベル+1
T117,槍術Ⅱ,部隊の足軽レベル+2
T118,槍術Ⅲ,部隊の足軽レベル+3
T121,器術Ⅰ,部隊の兵器レベル+1
T122,器術Ⅱ,部隊の兵器レベル+2
T123,器術Ⅲ,部隊の兵器レベル+3
T131,馬弓術Ⅰ,部隊の騎兵・弓兵レベル+1
T132,馬弓術Ⅱ,部隊の騎兵・弓兵レベル+2
T133,馬弓術Ⅲ,部隊の騎兵・弓兵レベル+3
T136,馬砲術Ⅰ,部隊の騎兵・鉄砲レベル+1
T137,馬砲術Ⅱ,部隊の騎兵・鉄砲レベル+2
T138,馬砲術Ⅲ,部隊の騎兵・鉄砲レベル+3
T141,馬槍術Ⅰ,部隊の騎兵・足軽レベル+1
T142,馬槍術Ⅱ,部隊の騎兵・足軽レベル+2
T143,馬槍術Ⅲ,部隊の騎兵・足軽レベル+3
T146,弓槍術Ⅰ,部隊の弓兵・足軽レベル+1
T147,弓槍術Ⅱ,部隊の弓兵・足軽レベル+2
T148,弓槍術Ⅲ,部隊の弓兵・足軽レベル+3
T151,弓砲術Ⅰ,部隊の弓兵・鉄砲レベル+1
T152,弓砲術Ⅱ,部隊の弓兵・鉄砲レベル+2
T153,弓砲術Ⅲ,部隊の弓兵・鉄砲レベル+3
T156,槍砲術Ⅰ,部隊の足軽・鉄砲レベル+1
T157,槍砲術Ⅱ,部隊の足軽・鉄砲レベル+2
T158,槍砲術Ⅲ,部隊の足軽・鉄砲レベル+3
T201,知恵Ⅰ,知略+2%
T202,知恵Ⅱ,知略+2.5%
T203,知恵Ⅲ,知略+3%
T206,武威Ⅰ,武勇+2%
T207,武威Ⅱ,武勇+2.5%
T208,武威Ⅲ,武勇+3%
T211,統帥Ⅰ,統率+2%
T212,統帥Ⅱ,統率+2.5%
T213,統帥Ⅲ,統率+3%
T216,急速Ⅰ,速度+2%
T217,急速Ⅱ,速度+2.5%
T218,急速Ⅲ,速度+3%
T221,政治Ⅰ,政務+2%
T222,政治Ⅱ,政務+2.5%
T223,政治Ⅲ,政務+3%
T226,魅惑Ⅰ,魅力+2%
T227,魅惑Ⅱ,魅力+2.5%
T228,魅惑Ⅲ,魅力+3%
T301,破敵Ⅰ,与ダメージ+1.2%
T302,破敵Ⅱ,与ダメージ+1.6%
T303,破敵Ⅲ,与ダメージ+2.0%
T306,攻勢Ⅰ,自軍全体の与ダメージ+1%
T307,攻勢Ⅱ,自軍全体の与ダメージ+1.3%
T308,攻勢Ⅲ,自軍全体の与ダメージ+1.6%
T311,血気Ⅰ,兵刃与ダメージ+1.6%
T312,血気Ⅱ,兵刃与ダメージ+2.2%
T313,血気Ⅲ,兵刃与ダメージ+2.8%
T316,猛攻Ⅰ,自軍全体の兵刃与ダメージ+1.4%
T317,猛攻Ⅱ,自軍全体の兵刃与ダメージ+1.8%
T318,猛攻Ⅲ,自軍全体の兵刃与ダメージ+2.2%
T321,知謀Ⅰ,計略与ダメージ+2.6%
T322,知謀Ⅱ,計略与ダメージ+3.3%
T323,知謀Ⅲ,計略与ダメージ+4.0%
T326,謀攻Ⅰ,自軍全体の計略与ダメージ+2.3%
T327,謀攻Ⅱ,自軍全体の計略与ダメージ+3%
T328,謀攻Ⅲ,自軍全体の計略与ダメージ+3.7%
T331,牢固Ⅰ,被ダメージｰ1.2%
T332,牢固Ⅱ,被ダメージｰ1.6%
T333,牢固Ⅲ,被ダメージｰ2.0%
T336,守勢Ⅰ,自軍全体の被ダメージ-1%
T337,守勢Ⅱ,自軍全体の被ダメージ-1.3%
T338,守勢Ⅲ,自軍全体の被ダメージ-1.6%
T341,防護Ⅰ,兵刃被ダメージ-1.6%
T342,防護Ⅱ,兵刃被ダメージ-2.2%
T343,防護Ⅲ,兵刃被ダメージ-2.8%
T346,固守Ⅰ,自軍全体の兵刃被ダメージ-1.4%
T347,固守Ⅱ,自軍全体の兵刃被ダメージ-1.8%
T348,固守Ⅲ,自軍全体の兵刃被ダメージ-2.2%
T351,看破Ⅰ,計略被ダメージ-2.6%
T352,看破Ⅱ,計略被ダメージ-3.3%
T353,看破Ⅲ,計略被ダメージ-4.0%
T356,堅固Ⅰ,自軍全体の計略被ダメージ+2.3%
T357,堅固Ⅱ,自軍全体の計略被ダメージ+3.0%
T358,堅固Ⅲ,自軍全体の計略被ダメージ+3.7%
T401,剛猛Ⅰ,自身が通常攻撃を受ける確率小幅上昇
T402,剛猛Ⅱ,自身が通常攻撃を受ける確率中幅上昇
T403,剛猛Ⅲ,自身が通常攻撃を受ける確率大幅上昇
T406,忍耐Ⅰ,自身が通常攻撃を受ける確率が小幅に低下
T407,忍耐Ⅱ,自身が通常攻撃を受ける確率が低下
T408,忍耐Ⅲ,自身が通常攻撃を受ける確率が大幅に低下
T411,威勢Ⅰ,このターンに通常攻撃を受けていない場合、固有能動戦法の発動率+2.1%
T412,威勢Ⅱ,このターンに通常攻撃を受けていない場合、固有能動戦法の発動率+2.8%
T413,威勢Ⅲ,このターンに通常攻撃を受けていない場合、固有能動戦法の発動率+3.5%
T416,奮戦Ⅰ,このターンに通常攻撃を受けていない場合、非固有能動戦法の発動率+2%
T417,奮戦Ⅱ,このターンに通常攻撃を受けていない場合、非固有能動戦法の発動率+2.5%
T418,奮戦Ⅲ,このターンに通常攻撃を受けていない場合、非固有能動戦法の発動率+3%
T421,攻陣Ⅰ,このターンに通常攻撃を受けていない場合、固有突撃戦法の発動率+2.1%
T422,攻陣Ⅱ,このターンに通常攻撃を受けていない場合、固有突撃戦法の発動率+2.8%
T423,攻陣Ⅲ,このターンに通常攻撃を受けていない場合、固有突撃戦法の発動率+3.5%
T426,猛闘Ⅰ,このターンに通常攻撃を受けなかった場合、固有以外の突撃戦法の発動率+2%
T427,猛闘Ⅱ,このターンに通常攻撃を受けなかった場合、固有以外の突撃戦法の発動率+2.5%
T428,猛闘Ⅲ,このターンに通常攻撃を受けなかった場合、固有以外の突撃戦法の発動率+3%
T999,-,-
